ticker,company,section,industry
ARE,Aecon Group Inc.,Industrials,Construction
AEM,Agnico Eagle Mines Limited,Basic Materials,Metals & Mining
AC,Air Canada,Industrials,Transportation
AGI,Alamos Gold Inc.,Basic Materials,Metals & Mining
AQN,Algonquin Power & Utilities Corp.,Utilities,Independent Power Producers
ATD,Alimentation Couche-Tard Inc.,Consumer Defensive,Retail Defensive
AP.UN,Allied Properties Real Estate Investment Trust,Real Estate,REITs
ALA,AltaGas Ltd.,Utilities,Regulated Utilities
AIF,Altus Group Limited,Real Estate,Real Estate
ARX,ARC Resources Ltd.,Energy,Oil & Gas
ATZ,Aritzia Inc.,Consumer Cyclical,Retail Cyclical
AX.UN,Artis Real Estate Investment Trust,Real Estate,REITs
ACO.X,ATCO Ltd.,Utilities,Regulated Utilities
ATA,ATS Automation Tooling Systems Inc.,Industrials,Industrial Products
AUP,Aurinia Pharmaceuticals Inc.,Healthcare,Biotechnology
ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers
BTO,B2Gold Corp.,Basic Materials,Metals & Mining
BDGI,Badger Infrastructure Solutions Ltd.,Industrials,Construction
BLDP,Ballard Power Systems Inc.,Industrials,Industrial Products
BMO,Bank of Montreal,Financial Services,Banks
BNS,Bank of Nova Scotia,Financial Services,Banks
ABX,Barrick Gold Corporation,Basic Materials,Metals & Mining
BHC,Bausch Health Companies Inc.,Healthcare,Drug Manufacturers
BCE,BCE Inc.,Communication Services,Telecommunication Services
BIR,Birchcliff Energy,Energy,Oil & Gas
BB,BlackBerry Limited,Technology,Software
BEI.UN,Boardwalk Real Estate Investment Trust,Real Estate,REITs
BBD.B,Bombardier Inc.,Industrials,Aerospace & Defense
BLX,Boralex Inc.,Utilities,Independent Power Producers
BYD,Boyd Group Services Inc.,Consumer Cyclical,Personal Services
BAM.A,Brookfield Asset Management Inc.,Financial Services,Asset Management
BBU.UN,Brookfield Business Partners L.P.,Industrials,Conglomerates
BIP.UN,Brookfield Infrastructure Partners L.P.,Utilities,Regulated Utilities
BPY.UN,Brookfield Property Partners L.P.,Real Estate,Real Estate
BEP.UN,Brookfield Renewable Partners L.P.,Utilities,Independent Power Producers
DOO,BRP Inc.,Consumer Cyclical,Vehicles & Parts
CAE,CAE Inc.,Industrials,Aerospace & Defense
CCO,Cameco Corporation,Energy,Other Energy Sources
CF,Canaccord Genuity Group Inc.,Financial Services,Capital Markets
GOOS,Canada Goose Holdings Inc.,Consumer Cyclical,Apparel & Accessories
CAR.UN,Canadian Apartment Properties Real Estate Investment Trust,Real Estate,REITs
CM,Canadian Imperial Bank of Commerce,Financial Services,Banks
CNR,Canadian National Railway Company,Industrials,Transportation
CNQ,Canadian Natural Resources Limited,Energy,Oil & Gas
CP,Canadian Pacific Railway Limited,Industrials,Transportation
CTC.A,Canadian Tire Corporation Limited,Consumer Cyclical,Retail Cyclical
CU,Canadian Utilities Limited,Utilities,Regulated Utilities
CWB,Canadian Western Bank,Financial Services,Banks
CFP,Canfor Corporation,Basic Materials,Forest Products
WEED,Canopy Growth Corporation,Healthcare,Drug Manufacturers
CPX,Capital Power Corporation,Utilities,Independent Power Producers
CS,Capstone Mining Corp.,Basic Materials,Metals & Mining
CJT,Cargojet Inc.,Industrials,Transportation
CAS,Cascades Inc.,Basic Materials,Forest Products
CCL.B,CCL Industries Inc.,Consumer Cyclical,Packaging & Containers
CLS,Celestica Inc.,Technology,Hardware
CVE,Cenovus Energy Inc.,Energy,Oil & Gas
CG,Centerra Gold Inc.,Basic Materials,Metals & Mining
GIB.A,CGI Inc.,Technology,Software
CSH.UN,Chartwell Retirement Residences,Real Estate,Real Estate
CHP.UN,Choice Properties Real Estate Investment Trust,Real Estate,REITs
CIX,CI Financial Corp.,Financial Services,Asset Management
CCA,Cogeco Communications Inc.,Communication Services,Telecommunication Services
CIGI,Colliers International Group Inc.,Real Estate,Real Estate
CUF.UN,Cominar Real Estate Investment Trust,Real Estate,REITs
CSU,Constellation Software Inc.,Technology,Software
CTS,Converge Technology Solutions Corp.,Technology,IT Consulting & Other Services
CJR.B,Corus Entertainment Inc.,Communication Services,Diversified Media
CPG,Crescent Point Energy Corp.,Energy,Oil & Gas
CRR.UN,Crombie Real Estate Investment Trust,Real Estate,REITs
CRON,Cronos Group Inc.,Healthcare,Drug Manufacturers
CRT.UN,CT Real Estate Investment Trust,Real Estate,REITs
DML,Denison Mines Corp.,Energy,Other Energy Sources
DSG,Descartes Systems Group Inc.,Technology,Software
DCBO,Docebo Inc.,Technology,Application Software
DOL,Dollarama Inc.,Consumer Defensive,Retail Defensive
DIR.UN,Dream Industrial Real Estate Investment Trust,Real Estate,REITs
D.UN,Dream Office Real Estate Investment Trust,Real Estate,REITs
DPM,Dundee Precious Metals Inc.,Basic Materials,Metals & Mining
DND,Dye & Durham Limited,Technology,Software
ECN,ECN Capital Corp.,Financial Services,Credit Services
ELD,Eldorado Gold Corporation,Basic Materials,Metals & Mining
EFN,Element Fleet Management Corp.,Industrials,Business Services
EMA,Emera Incorporated,Utilities,Regulated Utilities
EMP.A,Empire Company,Consumer Defensive,Retail Defensive
ENB,Enbridge Inc.,Energy,Oil & Gas
EDR,Endeavour Silver Corp.,Basic Materials,Metals & Mining
ERF,Enerplus Corporation,Energy,Oil & Gas
ENGH,Enghouse Systems Limited,Technology,Software
EQX,Equinox Gold Corp.,Basic Materials,Metals & Mining
EQB,Equitable Group Inc.,Financial Services,Banks
ERO,Ero Copper Corp.,Basic Materials,Metals & Mining
EIF,Exchange Income Corporation,Industrials,Transportation
FFH,Fairfax Financial Holdings Limited,Financial Services,Insurance
FTT,Finning International Inc.,Industrials,Industrial Distribution
FCR.UN,First Capital Real Estate Investment Trust,Real Estate,REITs
FR,First Majestic Silver Corp.,Basic Materials,Metals & Mining
FM,First Quantum Minerals Ltd.,Basic Materials,Metals & Mining
FSV,FirstService Corporation,Real Estate,Real Estate
FTS,Fortis Inc.,Utilities,Regulated Utilities
FVI,Fortuna Silver Mines Inc.,Basic Materials,Metals & Mining
FNV,Franco-Nevada Corporation,Basic Materials,Metals & Mining
WN,George Weston Limited,Consumer Defensive,Retail Defensive
GFL,GFL Environmental Inc.,Industrials,Waste Management
GEI,Gibson Energy Inc.,Energy,Oil & Gas
GIL,Gildan Activewear Inc.,Consumer Cyclical,Apparel & Accessories
GSY,goeasy Ltd.,Financial Services,Credit Services
GRT.UN,Granite Real Estate Investment Trust,Real Estate,REITs
GWO,Great-West Lifeco Inc.,Financial Services,Insurance
